Dict
Running CVC: false
DFSPriority
Eager
Size bound: 20
Depth bound: 4
=====

[16:08:20.802991]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> L -> V_16_, tr: L
[16:08:20.803493]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> L -> V0, tr: L
[16:08:20.804183]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> L -> V1, tr: L
[16:08:20.804815]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> L -> V_16_, tr: L
[16:08:20.805289]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> L -> V0, tr: L
[16:08:20.805958]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> L -> V1, tr: L
[16:08:20.806678]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> L -> V2, tr: L
[16:08:20.807120]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_17_ -> V_18_ -> L -> L, tr: L
[16:08:20.807629]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V_18_ -> L -> L, tr: L
[16:08:20.808111]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> L -> L, tr: L
[16:08:20.808690]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> L -> L, tr: L
[16:08:20.809109]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_19_ -> L -> V_20_ -> V_21_, tr: L
[16:08:20.809658]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V_20_ -> V_21_, tr: L
[16:08:20.810291]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V0 -> V_21_, tr: L
[16:08:20.810898]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V0 -> V0, tr: L
[16:08:20.811690]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V0 -> V1, tr: L
[16:08:20.812512]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V1 -> V_21_, tr: L
[16:08:20.813159]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V1 -> V0, tr: L
[16:08:20.813861]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V1 -> V1, tr: L
[16:08:20.814505]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V1 -> V2, tr: L
[16:08:20.814960]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_22_ -> L -> V_23_ -> L, tr: L
[16:08:20.815394]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V_23_ -> L, tr: L
[16:08:20.815880]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V0 -> L, tr: L
[16:08:20.816525]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> V1 -> L, tr: L
[16:08:20.816972]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_24_ -> L -> L -> V_25_, tr: L
[16:08:20.817507]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> L -> V_25_, tr: L
[16:08:20.818039]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> L -> V0, tr: L
[16:08:20.818822]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> L -> V1, tr: L
[16:08:20.819374]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_26_ -> L -> L -> L, tr: L
[16:08:20.820180]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> L -> L -> L, tr: L
[16:08:20.820887]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V_27_ -> V_28_ -> V_29_, tr: L
[16:08:20.821754]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V_28_ -> V_29_, tr: L
[16:08:20.822909]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V0 -> V_29_, tr: L
[16:08:20.823882]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V0 -> V0 -> V0, tr: L
