dictchain
Running CVC: true
Size bound: 20
Depth bound: 4
Names per round: 5
=====

[23:34:34.684]	BEG Initial search without labels or nullaries
[23:34:34.722]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> .L -> V1}
[23:34:34.722]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=V0 -> .L -> .L}
[23:34:34.722]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> _}
[23:34:34.723]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> _ -> _}
[23:34:34.723]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> V0 -> _}
[23:34:34.723]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> V0 -> V0}
[23:34:34.723]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> V0 -> V1}
[23:34:34.724]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> V0 -> .L}
[23:34:34.724]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> .L -> _}
[23:34:34.724]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> .L -> V0}
[23:34:34.724]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V0, min=.L -> .L -> .L}
[23:34:34.725]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=_ -> _}
[23:34:34.725]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> _}
[23:34:34.725]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> _ -> _}
[23:34:34.725]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V0 -> _}
[23:34:34.725]	{0=.L, 1=.L, compare=V0 -> V0 -> V0, max=V0 -> V1 -> V1, min=V0 -> V0 -> V0}
