dictchain
Running CVC: true
Size bound: 20
Depth bound: 4
Names per round: 5
=====

[23:34:34.684]	BEG Initial search without labels or nullaries
[23:39:22.570]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==L0[] -> .L -> V0}
[23:39:22.570]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==L0[] -> .L -> .L}
[23:39:22.570]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> _}
[23:39:22.570]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> _ -> _}
[23:39:22.570]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> L0[] -> _}
[23:39:22.571]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> L0[] -> V0}
[23:39:22.571]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> L0[] -> V1}
[23:39:22.571]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> L0[] -> .L}
[23:39:22.571]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V0 -> _}
[23:39:22.571]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V0 -> V0}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V0 -> V1}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V0 -> .L}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V1 -> _}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V1 -> V0}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V1 -> V1}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V1 -> V2}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> V1 -> .L}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> .L -> _}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> .L -> V0}
[23:39:22.572]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> .L -> V1}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==V0 -> .L -> .L}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> _}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> _ -> _}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> L0[] -> _}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> L0[] -> V0}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> L0[] -> .L}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> V0 -> _}
[23:39:22.573]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> V0 -> V0}
[23:39:22.574]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> V0 -> V1}
[23:39:22.574]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> V0 -> .L}
[23:39:22.574]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> .L -> _}
[23:39:22.574]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> .L -> V0}
[23:39:22.574]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> L0[] -> .L, [0]=.L, ==.L -> .L -> .L}
[23:39:22.574]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> _, [0]=.L, ==_ -> _}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==_ -> _}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> _}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> _ -> _}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> L0[] -> _}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> L0[] -> V0}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> L0[] -> .L}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> V0 -> _}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> V0 -> V0}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> V0 -> V1}
[23:39:22.575]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> V0 -> .L}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> .L -> _}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> .L -> V0}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==L0[] -> .L -> .L}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> _}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> _ -> _}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> L0[] -> _}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> L0[] -> V0}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> L0[] -> V1}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> L0[] -> .L}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V0 -> _}
[23:39:22.576]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V0 -> V0}
[23:39:22.577]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V0 -> V1}
[23:39:22.577]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V0 -> .L}
[23:39:22.577]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V1 -> _}
[23:39:22.577]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V1 -> V0}
[23:39:22.577]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V1 -> V1}
[23:39:22.577]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V1 -> V2}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> V1 -> .L}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> .L -> _}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> .L -> V0}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> .L -> V1}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==V0 -> .L -> .L}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> _}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> _ -> _}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> L0[] -> _}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> L0[] -> V0}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> L0[] -> .L}
[23:39:22.578]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> V0 -> _}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> V0 -> V0}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> V0 -> V1}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> V0 -> .L}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> .L -> _}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> .L -> V0}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V0, [0]=.L, ==.L -> .L -> .L}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==_ -> _}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> _}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> _ -> _}
[23:39:22.579]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> L0[] -> _}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> L0[] -> V0}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> L0[] -> .L}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> _}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> V0}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> V1}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> V0 -> .L}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> .L -> _}
[23:39:22.580]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> .L -> V0}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==L0[] -> .L -> .L}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> _}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> _ -> _}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> _}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> V0}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> V1}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> L0[] -> .L}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V0 -> _}
[23:39:22.581]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V0 -> V0}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V0 -> V1}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V0 -> .L}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V1 -> _}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V1 -> V0}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V1 -> V1}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V1 -> V2}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> V1 -> .L}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> .L -> _}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> .L -> V0}
[23:39:22.582]	{0=L0[], 1=L0[], compare=V0 -> V0 -> V0, max=V0 -> V0 -> V0, min=V0 -> V0 -> L0[], "a"=.L, succ=L0[] -> .L, -=V0 -> V0 -> V1, [0]=.L, ==V0 -> .L -> V1}
